Status,Language,,Dictionaries,Sentence Translation,R-T-L,Parse as:,Character Substitutions,Split Sentences at,Split sentence exceptions,Word Characters,Sample Text (source),Extra Dictionaries,Alternate Names,Font,Scripts,ISO Code
Initial,Somali,*,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [SOM] [E]
Glosbe [TRM] [ENG] [P]",Google Translate,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',UDHR | News article,,,,"Latn, Arab, Osma",so
Initial,Sorbian,,"Wiktionary (Upper Sorbian) [TRM] [ENG] [E]
Wiktionary (Lower Sorbian) [TRM] [ENG] [E]
Wiktionary [TRM] [WEN] [E]",-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',UDHR | Wikipedia article 1 (Lower) | Wikipedia article 2 (Upper),,#N/A,,#N/A,#N/A
Initial,Sotho / Southern Sotho,*,Wiktionary [TRM] [ENG] [E],Google Translate,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',UDHR,,#N/A,,#N/A,#N/A
Initial,Southern Ndebele,*,-,-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',Wikipedia article,,South Ndebele,,Latn,nr
Initial,Sumerian,*,Wiktionary [TRM] [ENG] [E],-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,-,\U00012000-\U000123FF\U00012400-\U0001247F\U00012480-\U0001254F,Sample 1,,,,"Xsux, Latn",sux
Initial,Sundanese,*,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [SUN] [E]",Google Translate,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ\u1B80-\u1BAF\u1BBA-\uaBBF,UDHR (Latin) | Wikipedia article (Latin) | Wikipedia article (Sunda),,,,"Latn, Sund",su
Initial,Swazi,*,Wiktionary [TRM] [ENG] [E],-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',UDHR,,Swati,,Latn,ss
Initial,Syriac,,Wiktionary [TRM] [ENG] [E],-,TRUE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,\u0710-\u074F\u2069\u0308\u0307,Peshitta sample 1 | Peshitta sample 2,,#N/A,,#N/A,#N/A
Initial,Tagalog,*,"Pinoy Dictionary [TYPE]
Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [TGL] [E]
Bohol.ph [TYPE]
Tagalog.com [TYPE]",Google Translate,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ'\u1700-\u171F,UDHR (Latin) | Samples (Baybayin),,,,"Latn, Tglg",tl
Initial,Tahitian,,Wiktionary [TRM] [ENG] [E],-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',UDHR | Wikipedia article,,,,Latn,ty
Initial,Tamil,*,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [TAM] [E]",Google Translate,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,\u0B80-\u0BFF,UDHR | Wikipedia article,,,,Taml,ta
Initial,Tatar,*,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [TTR] [E]
Bab.la [TRM] [P] | Glosbe [TRM] [ENG] [P]
Tatoeba [TRM] [P] | Verbix [FRM] [E]","Google Translate [P]
Bing Translate [E]
Promt [P]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZА-Яа-яЁёĞğİıÄäÖöÜüÇçŞşÑñƢƣƵƶƏəƟɵꞐꞑÂâ,UDHR | Wikipedia article (Lat.) | Wikipedia article (Cyr.),,,,"Cyrl, Latn, tt-Arab",tt
Initial,Telugu,*,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [TEL] [E]
A Telugu-English Dictionary (DSAL) [TYPE]
Shabdkosh [TYPE]",Google Translate,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,\u0C00-\u0C63\u0C66-\u0C7F\u200C,UDHR (Wikipedia) | News article,Andhrabharati,,,Telu,te
Initial,Tigrinya,*,Wiktionary [TRM] [ENG] [E],Google Translate,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,\u1200-\u135F,Wikipedia article 1 | Wikipedia article 2,,Tigrigna,,Ethi,ti
Initial,Tiwi,,Wiktionary [TRM] [ENG] [E],-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',Bible,https://ausil.org.au/Dictionary/Tiwi/lexicon/main.htm,,,Latn,tiw
Initial,Tok Pisin,*,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [TPI] [E]
Tok-pisin.com [TYPE]",-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',UDHR | Wikipedia article | News article,,"Melanesian Pidgin English, Neo-Melanesian, New Guinea Pidgin",,Latn,tpi
Initial,Tongan,,Wiktionary [TRM] [ENG] [E],-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',UDHR | Wikipedia article,,,,Latn,to
Initial,Tsonga,*,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [TSO] [E]",Google Translate,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',Wikipedia article,,Xitsonga,,Latn,ts
Initial,Tswana,*,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [TSN] [E]",-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ'ÊêÔôŠš-,UDHR | Wikipedia article,,Setswana,,Latn,tn
Initial,Tuvan,,Wiktionary [TRM] [ENG] [E],-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,А-Яа-яЁёүҮңҢӨө,UDHR | Wikipedia article,,Tyvan,,Cyrl,tyv
Initial,Tzeltal,,Wiktionary [TRM] [ENG] [E],-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',UDHR,,,,Latn,tzh
Initial,Tzotzil,,Wiktionary [TRM] [ENG] [E],-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',UDHR,,,,Latn,tzo
